NumFeatures,ClusterRadius,NumRules,MeanCV_MSE
4,0.2,18,0.0934525979647544
4,0.3,9,0.099722049755609
4,0.4,7,0.103443654827981
4,0.5,5,0.106889682865423
4,0.6,3,0.113293090966011
4,0.7,2,0.113646662607336
4,0.8,1,0.129150714982358
8,0.2,18,0.0801808346519594
8,0.3,16,0.0793171377047754
8,0.4,9,0.0817824743855926
8,0.5,6,0.0860606017854467
8,0.6,3,0.0880862748305311
8,0.7,3,0.0886534305503864
8,0.8,2,0.0966195980761267
12,0.2,15,0.0784249574175612
12,0.3,13,0.0781198707449187
12,0.4,9,0.0782138423136664
12,0.5,6,0.0815540997065428
12,0.6,4,0.0829893515488786
12,0.7,4,0.088143465753008
12,0.8,2,0.092865363787252
16,0.2,13,0.0808757548307421
16,0.3,11,0.0770782084458768
16,0.4,9,0.0787596440913939
16,0.5,5,0.0844000109714924
16,0.6,6,0.0813860796438371
16,0.7,6,0.0832364992958254
16,0.8,5,0.0844579516655756
20,0.2,11,0.0861482830867604
20,0.3,9,0.0808980405679193
20,0.4,9,0.0776244835656302
20,0.5,5,0.0810898763711247
20,0.6,5,0.0823533210427171
20,0.7,5,0.080258612450969
20,0.8,4,0.0827933384780127
30,0.2,14,0.110173800792255
30,0.3,12,0.0782262177091156
30,0.4,10,0.0768956266586043
30,0.5,6,0.077181339028447
30,0.6,6,0.076838063941172
30,0.7,5,0.0770932250950972
30,0.8,4,0.0779532037202888
