NumFeatures,ClusterRadius,NumRules,MeanCV_Error
4,0.4,10,1.06286225143983
4,0.5,5,1.06537119513375
4,0.6,5,1.0698174930052
4,0.7,5,1.07053772268769
4,0.8,5,1.07021964803169
8,0.4,11,1.03036947687509
8,0.5,9,1.0317540180714
8,0.6,8,1.03553965102536
8,0.7,6,1.04916358477827
8,0.8,5,1.05231117315464
12,0.4,14,1.01364918940323
12,0.5,10,1.01270552722804
12,0.6,10,1.00475431320694
12,0.7,8,1.0132657498334
12,0.8,5,1.03104668963038
16,0.4,19,0.993309500486031
16,0.5,12,0.996151998929613
16,0.6,10,0.9909505823605
16,0.7,9,0.991390375439721
16,0.8,7,1.00963478705943
20,0.4,28,0.995493810056069
20,0.5,13,0.990699118508594
20,0.6,10,0.998054370289699
20,0.7,9,0.986435735789925
20,0.8,8,0.995784851526734
